CODIGO_PRODUTO,DESCRICAO_MATERIAL,TEXTO_DESCRITIVO
236550,PELÚCIA FIZZY URSO C/LAÇO VERM 28CM (MP),PELÚCIA FIZZY URSO C/LAÇO VERM 28CM (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 79.00 . Descrição do produto: Pelúcia Fizzy Urso com Laço 28CM (MP) / .
236551,PELÚCIA FIZZY URSO 40CM (MP),"PELÚCIA FIZZY URSO 40CM (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 99.00 . Descrição do produto: Pelúcia Fizzy Urso 40CM (MP) / . Clientes também compraram: 239624 - PELÚCIA SUNN TOYSLEÃO DEIT CH2215 (MP), 255624 - PELÚCIA URSO SENTADO MA 34CM FE7230 (MP) ."
236553,PELÚCIA FIZZY ANIMAIS DIVERSOS 25CM (MP),PELÚCIA FIZZY ANIMAIS DIVERSOS 25CM (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 89.00 . Descrição do produto: Pelúcia Onça Filhote Fizzy 25cm (MP) / .
236556,PELÚCIA SUNN TOYS ANIMAIS SAFA 38CM (MP),PELÚCIA SUNN TOYS ANIMAIS SAFA 38CM (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 79.00 . Descrição do produto: Pelúcia Sunn Toys Animais Safari 38CM (MP) / .
236559,PELÚCIA SUNN TOYS ELEFANTE PLUSH (MP),PELÚCIA SUNN TOYS ELEFANTE PLUSH (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 89.00 . Descrição do produto: Pelúcia Sunn Toys Elefante Plush com Coroa (MP) / .
236560,PELÚCIA SUNN TOYS GOLFINHO 48CM (MP),"PELÚCIA SUNN TOYS GOLFINHO 48CM (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 69.00 . Descrição do produto: Pelúcia Sunn Toys Golfinho 48CM (MP) / . Avaliado por 1 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""linda"",""fofa"",""satisfação""],""Caracteristicas_Negativas"":[]} ."
236884,BRINQUEDO WINFUN AMIGUI CARANGUEIJO (MP),BRINQUEDO WINFUN AMIGUI CARANGUEIJO (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 170.00 . Descrição do produto: Brinquedo Winfun Amiguinho Carangueijo de Empilhar (MP) / .
236886,TREM ZOOP TOYS AMIGUINHOS DA FAZENDA(MP),TREM ZOOP TOYS AMIGUINHOS DA FAZENDA(MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 122.00 . Descrição do produto: Trem Zoop Toys Amiguinhos da Fazenda (MP) / .
236889,SAPINHO MUSICAL ZOOP TOYS ZP00660 (MP),SAPINHO MUSICAL ZOOP TOYS ZP00660 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 170.00 . Descrição do produto: Sapinho Musical Zoop Toys (MP) / .
236890,PATINHO ETITOYS BATE E VOLTA BQ-5021(MP),PATINHO ETITOYS BATE E VOLTA BQ-5021(MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 120.00 . Descrição do produto: Patinho Etitoys Bate e Volta Luz Som (MP) / .
236915,PELÚCIA NOVABRINQ MINNIE BABY 1974 (MP),PELÚCIA NOVABRINQ MINNIE BABY 1974 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 230.00 . Descrição do produto: Pelúcia Novabrinq Minnie Baby Fofinho (MP) / .
236916,PELÚCIA NOVABRINQ PATO DONALD 1975 (MP),PELÚCIA NOVABRINQ PATO DONALD 1975 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 230.00 . Descrição do produto: Pelúcia Novabrinq Pato Donald Baby Fofinho (MP) / .
236917,PELÚCIA NOVABRINQ MICKEY BABY 1973 (MP),PELÚCIA NOVABRINQ MICKEY BABY 1973 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 230.00 . Descrição do produto: Pelúcia Novabrinq Mickey Baby Fofinho (MP) / .
236919,KIT WINFUN BELEZA GIFT SET 3033-NL (MP),KIT WINFUN BELEZA GIFT SET 3033-NL (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 260.00 . Descrição do produto: Kit Winfun de Beleza Gift Set (MP) / .
236920,KIT WINFUN FERRAMENTAS THE LITTLE BUI(MP,KIT WINFUN FERRAMENTAS THE LITTLE BUI(MP . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 260.00 . Descrição do produto: Kit Winfun Ferramentas The Little Builder (MP) / .
236923,DINO WINFUN PULA BOLA 629NL (MP),DINO WINFUN PULA BOLA 629NL (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 240.00 . Descrição do produto: Brinquedo Dino Winfun Pula Bola (MP) / .
236931,CENTOPEIA ETITOYS LUZ E SOM ANIMA (MP),CENTOPEIA ETITOYS LUZ E SOM ANIMA (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 80.00 . Descrição do produto: Centopeia Etitoys Luz e Som Anima (MP) / .
236939,CAOZINHO DO BITA MONTE LIBANO 0115 (MP),CAOZINHO DO BITA MONTE LIBANO 0115 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 60.00 . Descrição do produto: Cãozinho do Bita Monte Libano (MP) / .
236941,CJ MONTE LIBANO ANIM FLO DA GP (MP),CJ MONTE LIBANO ANIM FLO DA GP (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 60.00 . Descrição do produto: Playset Monte Libano Animais da Floresta da Galinha Pintadinha (MP) / .
236944,CJ MONTE LIBANO CLUBE DA GP 305(MP),CJ MONTE LIBANO CLUBE DA GP 305(MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 90.00 . Descrição do produto: Playset Monte Libano Clube da Galinha Pintadinha (MP) / .
236945,TRENZINHO MONTE LIBANO DA GP 330 (MP),TRENZINHO MONTE LIBANO DA GP 330 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 100.00 . Descrição do produto: Trenzinho Monte Libano da Galinha Pintadinha (MP) / .
236946,CJ MONTE LIBANO RANCHO DA GP 365 (MP),CJ MONTE LIBANO RANCHO DA GP 365 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 130.00 . Descrição do produto: Playset Monte Libano Rancho da Galinha Pintadinha (MP) / .
236947,CJ MONTE LIBANO QUINTAL DA GP 320 (MP),CJ MONTE LIBANO QUINTAL DA GP 320 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 100.00 . Descrição do produto: Playset Monte Libano Quintal da Galinha Pintadinha (MP) / .
236950,ELEFANTE BUBA MOLA BUBAZOO 16130 (MP),"ELEFANTE BUBA MOLA BUBAZOO 16130 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 120.00 . Descrição do produto: Elefante Buba Mola de Atividades Bubazoo (MP) / . Avaliado por 1 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""maciez"",""aprovação infantil"",""versatilidade""],""Caracteristicas_Negativas"":[]} ."
236951,GIRAFINHA BUBA MOLA HAPPY ZOO 09833 (MP),GIRAFINHA BUBA MOLA HAPPY ZOO 09833 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 120.00 . Descrição do produto: Girafinha Buba Mola Happy Zoo (MP) / .
236953,PANDA BUBA ZOO TREME TREME 16135 (MP),PANDA BUBA ZOO TREME TREME 16135 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 140.00 . Descrição do produto: Panda Buba Zoo Treme Treme (MP) / .
236957,COALA BUBA TREME TREME 09803 (MP),COALA BUBA TREME TREME 09803 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 140.00 . Descrição do produto: Coala Buba Treme Treme (MP) / .
236963,COALA BUBA ANIMAL FUN 14416 RO (MP),COALA BUBA ANIMAL FUN 14416 RO (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 115.00 . Descrição do produto: Coala Buba Musical Animal Fun Rosa (MP) / .
236966,BUZININHA BUBA ELEFANTE ZOO 16129 (MP),BUZININHA BUBA ELEFANTE ZOO 16129 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 60.00 . Descrição do produto: Buzininha Buba Elefante com Mordedor Zoo (MP) / .
236967,BUZININHA BUBA DINO ZOO 16125 (MP),BUZININHA BUBA DINO ZOO 16125 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 60.00 . Descrição do produto: Buzininha Buba Dino com Mordedor Zoo (MP) / .
236973,SININHO BUBA LEÃO ZOO 16132 (MP),SININHO BUBA LEÃO ZOO 16132 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 65.00 . Descrição do produto: Sininho Buba Leão Zoo (MP) / .
236975,NANINHA BUBA COALA 14417 AZ (MP),NANINHA BUBA COALA 14417 AZ (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 65.00 . Descrição do produto: Naninha Buba Coala Azul (MP) / .
236976,NANINHA BUBA ELEFANTINHO ABRA 09962 (MP),NANINHA BUBA ELEFANTINHO ABRA 09962 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 110.00 . Descrição do produto: Naninha Buba Elefantinho Abraço (MP) / .
236978,ALMOFADA BUBA ELEFANTE 7561 CZ (MP),ALMOFADA BUBA ELEFANTE 7561 CZ (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 270.00 . Descrição do produto: Almofada Buba Elefante Cinza (MP) / .
236980,ELEFANTINHO BUBA 10743 AZ (MP),ELEFANTINHO BUBA 10743 AZ (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 150.00 . Descrição do produto: Elefantinho Buba Azul (MP) / .
237065,PISTA MATTEL HW MEGA REBOQUE GHR48,PISTA MATTEL HW MEGA REBOQUE GHR48 . Categoria: BRINQUEDOS > PISTAS . Preço final: R$ 222.00 . Clientes também compraram: 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT .
237067,PISTA MATTEL HW SKATE COLEÇÃO SETS HGT91,"PISTA MATTEL HW SKATE COLEÇÃO SETS HGT91 . Categoria: BRINQUEDOS > PISTAS . Preço final: R$ 224.00 . Descrição do produto: Pista Mattel Hot Wheels Skate Coleção Sets HGT91. Garantia do Fabricante:03 Meses. Marca:Mattel. Linha:Hot Wheels. Referência:HGT91. Material:Plástico | Metal. Faixa Etária:A partir de 5 Anos. Conteúdo da Embalagem:01 Pista Hot Wheels. Dimensões do Produto (AxLxP):25 x 7 x 28,5cm. Peso do Produto:0,263 kg. EAN:194735057757. Aviso: . Clientes também compraram: 231411 - KIT MATTEL HW SKATE DE DEDO HGT84 SORT, 201218 - BONECA MIMO MORANGUINHO PEQ C/ACESS 4007, 255461 - BONECO BARBIE MATTEL KEN FASHION HXX52, 204886 - PISTA MATTEL HW CITY ROBÔ TUBARÃO GJL12, 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT ."
237113,PISTA MATTEL HW CITY ATAQ COBRA HTN81,"PISTA MATTEL HW CITY ATAQ COBRA HTN81 . Categoria: BRINQUEDOS > PISTAS . Preço final: R$ 336.00 . Descrição do produto: Pista Hot Wheels Mattel City Ataque de Cobra HTN81. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Pista Hot Wheels. Referência:HTN81. Cor:Laranja. Material:Plástico. Idade Recomendada:Apartir de 3 anos. Conteúdo da Embalagem:01 Pista Hot Wheels | 01 Carrinho. Dimensões do Produto (AxLxP):35,5 X 60 X 33 cm. Peso do Produto:0,905kg. EAN:194735195121. Aviso: . Clientes também compraram: 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT, 221764 - PISTA MATTEL HW CITY NEMESIS GORIL HDR30, 204886 - PISTA MATTEL HW CITY ROBÔ TUBARÃO GJL12, 237152 - PIRÂMIDE DE ARGOLAS MATTEL FP ROCK GKW58 ."
237114,BONECO MATTEL DISNEY PRÍNCIPE HLV96 SORT,"BONECO MATTEL DISNEY PRÍNCIPE HLV96 SORT . Categoria: BRINQUEDOS > BONECOS . Preço final: R$ 116.00 . Descrição do produto: Boneco Mattel Disney Príncipes Sortido HLV96. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Disney Príncipe. Referência:HLV96. Cor:Sortido, sem possibilidade de escolher. Material:Plástico. Faixa Etária:A partir de 3 Anos. Conteúdo da Embalagem:01 Boneco Disney Príncipes Sortido. Dimensões do Produto (AxLxP):33 X 12 X 6cm. Peso do Produto:0,15kg. EAN:194735120222. Aviso:. Atenção: Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 255461 - BONECO BARBIE MATTEL KEN FASHION HXX52, 221781 - BONECA MATTEL BB PRINCESAS HGR00 SORT, 192117 - BONECA MATTEL BB PROFISSÕES DVF50 SORT, 237138 - BONECA MATTEL FROZEN I/II HLW46 SORT ."
237116,BONECO MATTEL JW DINOSSAURO HBK21,BONECO MATTEL JW DINOSSAURO HBK21 . Categoria: BRINQUEDOS > BONECOS . Preço final: R$ 189.00 .
237117,BONECO MATTEL JW GIGANOTOSAURUS HBK22,BONECO MATTEL JW GIGANOTOSAURUS HBK22 . Categoria: BRINQUEDOS > BONECOS . Preço final: R$ 189.00 .
237118,BONECO MATTEL JW INDOMINUS REX HLK94,BONECO MATTEL JW INDOMINUS REX HLK94 . Categoria: BRINQUEDOS > BONECOS . Preço final: R$ 189.00 .
237120,BONECA MATTEL BB DIA DO SPA LUXO GJR84,"BONECA MATTEL BB DIA DO SPA LUXO GJR84 . Categoria: BRINQUEDOS > BONECAS . Preço final: R$ 236.00 . Descrição do produto: Boneca Barbie Mattel Dia do Spa Luxo GJR84. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Boneca Barbie Spa Luxo. Referência:GJR84. Cor:Colorido. Material:Plástico. Idade Recomendada:Apartir de 3 anos. Conteúdo da Embalagem:01 Boneca Barbie Spa Luxo | Acessórios. Dimensões do Produto (AxLxP):31,8 x 22,9 x 7,3 cm. Peso do Produto:0,650kg. EAN:887961816495. Aviso: . Clientes também compraram: 233960 - BONECA MATTEL BB CONFEITARIA HGB73, 140971 - BONECA MATTEL BB FASHION T7439 SORT, 188282 - BONECA LIDER BEBÊ NA BANHEIRA AP879, 222953 - BONECA ROMA BEBEZINHO REAL 5682 AZ, 222223 - CASTELO MAGIC TOYS PRINCESS MEG 1092 ."
237127,BONECA MATTEL BB BAILARINAS HRG33 SORT,"BONECA MATTEL BB BAILARINAS HRG33 SORT . Categoria: BRINQUEDOS > BONECAS . Preço final: R$ 62.00 . Descrição do produto: Boneca Barbie Mattel Bailarinas Hrg33 Sort. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Boneca Bailarinas. Referência:HRG33. Cor:Sortido. Material:Plástico. Faixa Etária:Apartir de 3 anos. Conteúdo da Embalagem:01 Boneca Barbie. Dimensões do Produto (AxLxP):32,5 x 9 x 4,8 cm. Peso do Produto:0,250kg. EAN:194735176045. Aviso:. Atenção:Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online . Avaliado por 3 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""linda"",""barata"",""satisfação"",""felicidade""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 221781 - BONECA MATTEL BB PRINCESAS HGR00 SORT, 230113 - BONECA MATTEL BB MODA PRAIA DWJ99 SORT, 255461 - BONECO BARBIE MATTEL KEN FASHION HXX52, 140972 - BONECA MATTEL BB GLITTER T7580 SORT ."
237134,BONECA MATTEL BB SEREIAS HRR02 SORT,"BONECA MATTEL BB SEREIAS HRR02 SORT . Categoria: BRINQUEDOS > BONECAS . Preço final: R$ 104.00 . Descrição do produto: Boneca Barbie Sereias Cabelos Coloridos Sortido HRR02. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Barbie Sereias. Referência:HRR02. Cor:Sortido, sem possibilidade de escolher. / Material:Plástico. Faixa Etária:A partir de 3 anos. / Conteúdo da Embalagem:01 Boneca Barbie Sereias. Dimensões do Produto (AxLxP):32 x 10,16 x 4,76cm. Peso do Produto:0,248kg. EAN:194735183715. Aviso:. Atenção: Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online.   . Avaliado por 4 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""beleza"",""durabilidade"",""cores vibrantes"",""satisfação""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 221781 - BONECA MATTEL BB PRINCESAS HGR00 SORT, 255461 - BONECO BARBIE MATTEL KEN FASHION HXX52, 230113 - BONECA MATTEL BB MODA PRAIA DWJ99 SORT, 237127 - BONECA MATTEL BB BAILARINAS HRG33 SORT ."
237145,CJ MATTEL PP MODA M HKV88 SORT,"CJ MATTEL PP MODA M HKV88 SORT . Categoria: BRINQUEDOS > CONJUNTO_PLAYSET_MENINAS . Preço final: R$ 96.00 . Descrição do produto: Playset Polly Pocket Mattel Moda M HKV88 Sortido. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Playset Polly Pocket. Referência:HKV88. Cor:Sortido. Material:Plástico. Idade Recomendada:Apartir de 3 anos. Conteúdo da Embalagem:01 Boneca Polly Pocket | Acessórios. Dimensões do Produto (AxLxP):1,5 x 6 x 8 cm. Peso do Produto:0,050kg. EAN:194735108855. Aviso:. Atenção:Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online . Avaliado por 2 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""alta qualidade"",""satisfação"",""recomendação""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 226656 - BONECA MATTEL PP MODAS HNF50 SORT, 204900 - BONECA MATTEL PP FWY19 SORT, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 226651 - BONECA MATTEL PP AMIGOS MODA HKV98 SORT, 201821 - CJ MATTEL PP CACHORRO E FANTASIAS GDM15 ."
237148,BLOCOS MATTEL ENCAIXA FP BORBOLETA CDC22,"BLOCOS MATTEL ENCAIXA FP BORBOLETA CDC22 . Categoria: BRINQUEDOS > BLOCOS_DE_MONTAR . Preço final: R$ 59.00 . Descrição do produto: Blocos Mattel Encaixa Fisher Price Borboleta CDC22. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Fisher Price Borboleta. Referência:CDC22. / Material:Plástico. Faixa Etária:A partir de 6 meses. Quantidade de peças:07. / Conteúdo da Embalagem:01 Blocos Mattel Encaixa Fisher Price . Dimensões do Produto (AxLxP):2,2 x 3,4 x 2,5cm. Peso do Produto:0,272kg. EAN:887961037500. Aviso:.   . Avaliado por 2 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""ótimo"",""educativo""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 237152 - PIRÂMIDE DE ARGOLAS MATTEL FP ROCK GKW58, 201829 - BRINQ MATTEL FP CHOCALHO DIVERTIDO DMC42, 167637 - BRINQ MATTEL FP TARTARUGA Y8652, 213877 - BLOCO DISMAT GIRO MÁGICO MK326, 140971 - BONECA MATTEL BB FASHION T7439 SORT ."
237151,CASA DE BONECA MATTEL DISNEY CAST HLW29,CASA DE BONECA MATTEL DISNEY CAST HLW29 . Categoria: BRINQUEDOS > BRINCADEIRAS_E_FAZ_DE_CONTA . Preço final: R$ 1964.00 . Descrição do produto: Casa de Boneca Mattel Castelo Real dos Sonhos HLW29 .
237155,TABLET MATTEL FP APRENDIZAG CRESCE HXB80,"TABLET MATTEL FP APRENDIZAG CRESCE HXB80 . Categoria: BRINQUEDOS > PRIMEIRA_INFANCIA . Preço final: R$ 178.00 . Descrição do produto: Tablet Fisher Price Aprendizagem Cresce Comigo Hxb80. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Tablet Aprendizagem Cresce Comigo. Referência:HXB80. Cor:Branco. Material:Plástico. Faixa Etária:Apartir de 1 ano. Conteúdo da Embalagem:01 Tablet Aprendizagem Cresce Comigo. Dimensões do Produto (AxLxP):24,76 x 20,32 x 3,8 cm. Peso do Produto:1,150kg. EAN:194735225286. Aviso: . Avaliado por 1 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""encantamento"",""preço baixo""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 201838 - PIANO MUSICAL MATTEL FP CACHORRINH GFX34, 213877 - BLOCO DISMAT GIRO MÁGICO MK326, 239772 - CONTROLE DE VIDEOGAME FISHER-PRICE HXC28, 234002 - CARRO CKS CR X-STEEL LT3 W3699-A10 AM ."
237736,PELÚCIA LOVELY TOYS COELHO RABIT 3091(MP,PELÚCIA LOVELY TOYS COELHO RABIT 3091(MP . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 65.00 . Descrição do produto: Pelúcia Lovely Toys Coelho Rabito 25cm (MP) / .
237737,PELÚCIA LOVELY TOYS COELHO POPY 3220 (MP,PELÚCIA LOVELY TOYS COELHO POPY 3220 (MP . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 45.00 . Descrição do produto: Pelúcia Lovely Toys Coelho Popy 20cm (MP) .
237738,PELÚCIA LOVELY TOYS COELHO PERAL 3770(MP,PELÚCIA LOVELY TOYS COELHO PERAL 3770(MP . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 85.00 . Descrição do produto: Pelúcia Lovely Toys Coelho Peralta 24cm (MP) / .
237739,PELÚCIA LOVELY TOYS COELH CARROT 3092(MP,PELÚCIA LOVELY TOYS COELH CARROT 3092(MP . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 55.00 . Descrição do produto: Pelúcia Lovely Toys Coelho Carrot 18cm (MP) / .
237769,KIT JG IMPORIENTE POKER (MP),KIT JG IMPORIENTE POKER (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 109.90 . Descrição do produto: Kit Jogo Poker Imporiente (MP) / .
238622,PELÚCIA FIZZY URSO 45CM FE7168 (MP),PELÚCIA FIZZY URSO 45CM FE7168 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 119.00 . Descrição do produto: Pelúcia Urso Fizzy 45CM (MP) / .
238624,PELÚCIA FIZZY URSO 20CM FC2787 (MP),PELÚCIA FIZZY URSO 20CM FC2787 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 45.00 . Descrição do produto: Pelúcia Urso Fizzy 20CM (MP) / . Clientes também compraram: 236563 - PELÚCIA SUNN TOYS SAFARI 25CM (MP) .
238626,GARRAFA TERM UATT CANE GAMER G 35939(MP),"GARRAFA TERM UATT CANE GAMER G 35939(MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 79.00 . Descrição do produto: Garrafa Térmica Uatt com Caneca Gamer Girl (MP) / . Avaliado por 1 clientes, com nota média de 3.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""ideal"",""manutenção de temperatura""],""Caracteristicas_Negativas"":[]} ."
238627,GARRAFA TERM UATT RETRO 780ML 38791 (MP),"GARRAFA TERM UATT RETRO 780ML 38791 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 119.00 . Descrição do produto: Garrafa Térmica Uatt Retrô 780ML (MP) / . Avaliado por 1 clientes, com nota média de 4.0 estrelas."
238629,MARMITA UATT SQUARE 38699 (MP),"MARMITA UATT SQUARE 38699 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 30.00 . Descrição do produto: Marmita Uatt Square Frases Cores Amores 38699 (MP) / . Avaliado por 1 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""ótimo tamanho"",""compra valiosa""],""Caracteristicas_Negativas"":[]} ."
238630,MARMITA UATT SQUARE 38697 (MP),MARMITA UATT SQUARE 38697 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 30.00 . Descrição do produto: Marmita Uatt Square Leve Só o Que É Bom (MP) / .
238643,CUBO ARK TOYS PRO 3X3 AKT3819 (MP),"CUBO ARK TOYS PRO 3X3 AKT3819 (MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 25.00 . Descrição do produto: Cubo Mágico Ark Brinquedos Pro 3x3 (MP) / . Avaliado por 1 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""atendimento"",""entrega pontual""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 238645 - CUBO ARK TOYS MALUCO AKT2635 (MP), 241371 - CUBO INTERATIVO JIEHUI CUBE 5,5CM (MP) ."
238646,JOGO DA MEMÓRIA ARK TOYS COL AKT4062(MP),"JOGO DA MEMÓRIA ARK TOYS COL AKT4062(MP) . Categoria: BRINQUEDOS > BRINQUEDOS_EM_GERAL_MKTP . Preço final: R$ 39.00 . Descrição do produto: Jogo da Memória Ark Toys Colorido (MP) / . Avaliado por 1 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""alta qualidade"",""baixo custo"",""satisfação""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 238644 - CUBO ARK TOYS PIRA 3X3X3 AKT3822 (MP) ."
